lambda,BAC,mu,P,sim
412.46263829013566,0.5,0.02,15,9
1193.7766417144383,0.5,0.02,15,9
3455.1072945922183,0.5,0.02,15,9
10000.0,0.5,0.02,15,9
0.01,0.5151792060107625,0.02,15,10
0.028942661247167517,0.5,0.02,15,10
0.0837677640068292,0.5049751243781094,0.02,15,10
0.24244620170823283,0.5113209462889634,0.02,15,10
0.701703828670383,0.4595136562087522,0.02,15,10
2.030917620904737,0.5272616509290283,0.02,15,10
5.878016072274912,0.4527363184079602,0.02,15,10
17.012542798525892,0.5,0.02,15,10
49.238826317067414,0.5,0.02,15,10
142.51026703029993,0.5,0.02,15,10
412.46263829013566,0.5,0.02,15,10
1193.7766417144383,0.5,0.02,15,10
3455.1072945922183,0.5,0.02,15,10
10000.0,0.5,0.02,15,10
0.01,0.4948514898575539,0.02,15,11
0.028942661247167517,0.48976243133338093,0.02,15,11
0.0837677640068292,0.48976243133338093,0.02,15,11
0.24244620170823283,0.49612375448859714,0.02,15,11
0.701703828670383,0.5278352476754418,0.02,15,11
2.030917620904737,0.5289410477753205,0.02,15,11
5.878016072274912,0.48346055979643765,0.02,15,11
17.012542798525892,0.5,0.02,15,11
49.238826317067414,0.5,0.02,15,11
142.51026703029993,0.5,0.02,15,11
412.46263829013566,0.5,0.02,15,11
1193.7766417144383,0.5,0.02,15,11
3455.1072945922183,0.5,0.02,15,11
10000.0,0.5,0.02,15,11
0.01,0.546,0.02,15,12
0.028942661247167517,0.556,0.02,15,12
0.0837677640068292,0.542,0.02,15,12
0.24244620170823283,0.558,0.02,15,12
0.701703828670383,0.55,0.02,15,12
2.030917620904737,0.972,0.02,15,12
5.878016072274912,0.98,0.02,15,12
17.012542798525892,1.0,0.02,15,12
49.238826317067414,1.0,0.02,15,12
142.51026703029993,1.0,0.02,15,12
412.46263829013566,1.0,0.02,15,12
1193.7766417144383,1.0,0.02,15,12
3455.1072945922183,1.0,0.02,15,12
10000.0,1.0,0.02,15,12
0.01,0.5203921568627451,0.02,15,13
0.028942661247167517,0.5172549019607843,0.02,15,13
0.0837677640068292,0.5254901960784314,0.02,15,13
0.24244620170823283,0.5262745098039217,0.02,15,13
0.701703828670383,0.4733333333333334,0.02,15,13
2.030917620904737,0.4886274509803922,0.02,15,13
5.878016072274912,0.3411764705882353,0.02,15,13
17.012542798525892,0.5,0.02,15,13
49.238826317067414,0.5,0.02,15,13
142.51026703029993,0.5,0.02,15,13
412.46263829013566,0.5,0.02,15,13
1193.7766417144383,0.5,0.02,15,13
3455.1072945922183,0.5,0.02,15,13
10000.0,0.5,0.02,15,13
0.01,0.4309627781243502,0.02,15,14
0.028942661247167517,0.4309627781243502,0.02,15,14
0.0837677640068292,0.4135995009357455,0.02,15,14
0.24244620170823283,0.3844354335620711,0.02,15,14
0.701703828670383,0.3532959035142441,0.02,15,14
2.030917620904737,0.48965481389062177,0.02,15,14
5.878016072274912,0.3155021834061135,0.02,15,14
17.012542798525892,0.5,0.02,15,14
49.238826317067414,0.5,0.02,15,14
142.51026703029993,0.5,0.02,15,14
412.46263829013566,0.5,0.02,15,14
1193.7766417144383,0.5,0.02,15,14
3455.1072945922183,0.5,0.02,15,14
10000.0,0.5,0.02,15,14
0.01,0.5798486503354657,0.02,15,15
0.028942661247167517,0.5798486503354657,0.02,15,15
0.0837677640068292,0.5828132313933532,0.02,15,15
0.24244620170823283,0.41890310500858174,0.02,15,15
0.701703828670383,0.5431034482758621,0.02,15,15
2.030917620904737,0.5822281167108754,0.02,15,15
5.878016072274912,0.5299578717428616,0.02,15,15
17.012542798525892,0.5,0.02,15,15
49.238826317067414,0.5,0.02,15,15
142.51026703029993,0.5,0.02,15,15
412.46263829013566,0.5,0.02,15,15
1193.7766417144383,0.5,0.02,15,15
3455.1072945922183,0.5,0.02,15,15
10000.0,0.5,0.02,15,15
0.01,0.534,0.02,15,16
0.028942661247167517,0.534,0.02,15,16
0.0837677640068292,0.534,0.02,15,16
0.24244620170823283,0.528,0.02,15,16
0.701703828670383,0.538,0.02,15,16
2.030917620904737,0.916,0.02,15,16
5.878016072274912,0.956,0.02,15,16
17.012542798525892,1.0,0.02,15,16
