Date,Value
1999-04-29,303.72946
1999-04-30,302.217103
1999-05-03,310.737071
1999-05-04,308.471772
1999-05-05,312.530844
1999-05-06,309.658745
1999-05-07,312.862584
1999-05-10,313.552702
1999-05-11,314.691107
1999-05-12,316.452965
1999-05-13,319.088193
1999-05-14,312.358887
1999-05-17,311.709521
1999-05-18,311.307103
1999-05-19,313.779168
1999-05-20,313.660272
1999-05-21,313.719883
1999-05-24,308.705098
1999-05-25,304.509141
1999-05-26,307.37758
1999-05-27,301.368951
1999-05-28,304.32812
1999-05-31,304.32812
1999-06-01,303.130203
1999-06-02,304.638053
1999-06-03,305.338459
1999-06-04,308.627568
1999-06-07,311.890949
1999-06-08,308.598779
1999-06-09,308.988289
1999-06-10,309.499237
1999-06-11,307.952798
1999-06-14,308.865122
1999-06-15,310.500318
1999-06-16,315.431263
1999-06-17,314.109041
1999-06-18,313.835616
1999-06-21,314.645412
1999-06-22,310.700037
1999-06-23,309.202227
1999-06-24,303.682086
1999-06-25,304.471912
1999-06-28,308.906841
1999-06-29,311.625456
1999-06-30,314.138996
1999-07-01,316.907048
1999-07-02,319.533365
1999-07-05,319.533365
1999-07-06,318.849177
1999-07-07,317.674684
1999-07-08,319.615668
1999-07-09,320.441222
1999-07-12,320.122437
1999-07-13,317.852955
1999-07-14,319.352208
1999-07-15,322.011789
1999-07-16,323.345585
1999-07-19,322.512032
1999-07-20,316.955606
1999-07-21,316.389624
1999-07-22,312.915645
1999-07-23,312.930138
1999-07-26,312.376819
1999-07-27,316.203708
1999-07-28,316.602225
1999-07-29,311.511384
1999-07-30,308.45366
1999-08-02,311.073894
1999-08-03,309.810221
1999-08-04,307.273258
1999-08-05,308.615661
1999-08-06,306.026788
1999-08-09,307.873307
1999-08-10,302.532985
1999-08-11,307.541247
1999-08-12,305.910957
1999-08-13,311.828672
1999-08-16,312.101672
1999-08-17,313.420877
1999-08-18,310.563846
1999-08-19,308.669555
1999-08-20,311.673361
1999-08-23,316.550903
1999-08-24,316.874001
1999-08-25,318.051272
1999-08-26,313.846113
1999-08-27,313.179341
1999-08-30,307.87894
1999-08-31,306.859691
1999-09-01,310.011404
1999-09-02,307.484433
1999-09-03,317.410334
1999-09-06,317.410334
1999-09-07,314.796097
1999-09-08,312.847211
1999-09-09,314.155956
1999-09-10,312.687713
1999-09-13,309.404294
1999-09-14,308.122477
1999-09-15,304.225856
1999-09-16,302.788858
1999-09-17,304.329905
1999-09-20,303.20149
1999-09-21,295.842061
1999-09-22,295.282644
1999-09-23,289.121942
1999-09-24,287.217199
1999-09-27,288.729396
1999-09-28,286.47557
1999-09-29,283.501137
1999-09-30,281.811632
1999-10-01,280.177131
1999-10-04,284.10419
1999-10-05,282.998171
1999-10-06,286.676612
1999-10-07,283.941371
1999-10-08,285.236319
1999-10-11,285.186429
1999-10-12,281.318702
1999-10-13,275.086551
1999-10-14,276.090335
1999-10-15,268.747025
1999-10-18,268.618128
1999-10-19,265.594414
1999-10-20,268.635346
1999-10-21,267.091627
1999-10-22,272.854114
1999-10-25,271.851633
1999-10-26,270.018275
1999-10-27,271.817072
1999-10-28,281.439439
1999-10-29,288.477823
1999-11-01,286.347341
1999-11-02,287.715283
1999-11-03,289.624796
1999-11-04,291.638096
1999-11-05,294.776759
1999-11-08,297.159657
1999-11-09,293.757689
1999-11-10,293.104463
1999-11-11,292.863127
1999-11-12,295.270046
1999-11-15,294.797136
1999-11-16,299.476078
1999-11-17,297.690168
1999-11-18,301.721501
1999-11-19,300.512342
1999-11-22,300.42138
1999-11-23,296.252925
1999-11-24,297.83143
1999-11-25,297.83143
1999-11-26,296.905224
1999-11-29,295.458012
1999-11-30,293.769467
1999-12-01,294.559446
1999-12-02,296.679599
1999-12-03,303.090933
1999-12-06,301.005132
1999-12-07,297.157995
1999-12-08,294.935478
1999-12-09,293.248857
1999-12-10,292.800795
1999-12-13,291.88382
1999-12-14,289.226786
1999-12-15,291.511987
1999-12-16,293.053244
1999-12-17,292.88175
1999-12-20,292.016446
1999-12-21,293.35252
1999-12-22,294.181948
1999-12-23,299.500257
1999-12-24,299.500257
1999-12-27,295.98923
1999-12-28,297.80081
1999-12-29,300.491442
1999-12-30,301.997094
1999-12-31,302.086748
2000-01-03,302.400731
2000-01-04,291.905436
2000-01-05,292.477556
2000-01-06,292.164631
2000-01-07,300.075196
2000-01-10,303.198303
2000-01-11,301.261975
2000-01-12,303.011961
2000-01-13,305.357104
2000-01-14,311.233874
2000-01-17,311.233874
2000-01-18,308.80084
2000-01-19,307.845375
2000-01-20,303.359626
2000-01-21,302.972296
2000-01-24,298.580872
2000-01-25,297.063937
2000-01-26,294.758639
2000-01-27,294.574394
2000-01-28,287.634918
2000-01-31,293.813339
2000-02-01,296.341701
2000-02-02,296.628634
2000-02-03,300.088781
2000-02-04,300.806638
2000-02-07,302.838688
2000-02-08,300.51416
2000-02-09,294.911289
2000-02-10,295.411081
2000-02-11,289.496839
2000-02-14,291.132854
2000-02-15,294.380267
2000-02-16,293.750671
2000-02-17,294.975021
2000-02-18,286.729536
2000-02-21,286.729536
2000-02-22,288.958858
2000-02-23,287.434461
2000-02-24,286.802651
2000-02-25,283.068103
2000-02-28,285.859696
2000-02-29,289.72253
2000-03-01,295.221491
2000-03-02,295.252957
2000-03-03,301.158256
2000-03-06,298.501899
2000-03-07,292.290411
2000-03-08,292.342655
2000-03-09,297.392801
2000-03-10,298.466914
2000-03-13,298.31064
2000-03-14,291.624605
2000-03-15,297.166336
2000-03-16,310.526341
2000-03-17,311.422584
2000-03-20,313.322591
2000-03-21,319.9375
2000-03-22,323.000523
2000-03-23,326.244145
2000-03-24,326.415068
2000-03-27,328.463568
2000-03-28,323.526058
2000-03-29,319.774684
2000-03-30,319.031223
2000-03-31,322.839706
2000-04-03,327.314698
2000-04-04,326.254747
2000-04-05,328.543291
2000-04-06,332.527907
2000-04-07,334.577002
2000-04-10,331.629446
2000-04-11,331.920709
2000-04-12,326.782171
2000-04-13,323.794893
2000-04-14,303.104458
2000-04-17,314.889721
2000-04-18,322.315993
2000-04-19,315.999575
2000-04-20,317.75421
2000-04-21,317.75421
2000-04-24,318.595982
2000-04-25,330.398639
2000-04-26,327.105509
2000-04-27,327.476495
2000-04-28,326.454451
2000-05-01,328.900501
2000-05-02,322.671203
2000-05-03,315.700569
2000-05-04,315.023628
2000-05-05,319.380926
2000-05-08,319.036026
2000-05-09,317.277791
2000-05-10,308.283094
2000-05-11,315.535501
2000-05-12,319.118354
2000-05-15,325.170049
2000-05-16,330.846887
2000-05-17,326.676652
2000-05-18,327.700464
2000-05-19,320.556669
2000-05-22,318.003832
2000-05-23,313.875604
2000-05-24,321.013139
2000-05-25,315.320092
2000-05-26,315.015487
2000-05-29,315.015487
2000-05-30,323.178063
2000-05-31,321.42065
2000-06-01,329.156968
2000-06-02,334.610994
2000-06-05,334.086814
2000-06-06,330.073798
2000-06-07,332.846419
2000-06-08,330.101579
2000-06-09,330.274894
2000-06-12,330.020016
2000-06-13,331.564934
2000-06-14,327.678499
2000-06-15,325.899305
2000-06-16,318.242851
2000-06-19,324.081497
2000-06-20,322.122217
2000-06-21,322.234102
2000-06-22,317.639922
2000-06-23,316.758061
2000-06-26,318.109759
2000-06-27,316.374763
2000-06-28,317.496187
2000-06-29,318.224472
2000-06-30,312.666601
2000-07-03,320.239255
2000-07-04,320.239255
2000-07-05,316.638803
2000-07-06,319.750691
2000-07-07,323.789656
2000-07-10,323.909723
2000-07-11,324.846213
2000-07-12,328.183501
2000-07-13,328.708716
2000-07-14,330.505892
2000-07-17,329.253694
2000-07-18,325.326278
2000-07-19,322.305223
2000-07-20,326.483363
2000-07-21,321.833509
2000-07-24,319.066497
2000-07-25,320.471445
2000-07-26,315.196159
2000-07-27,315.636932
2000-07-28,311.709945
2000-07-31,315.032706
2000-08-01,317.130718
2000-08-02,317.301767
2000-08-03,321.344403
2000-08-04,323.059415
2000-08-07,326.766741
2000-08-08,326.542851
2000-08-09,325.807921
2000-08-10,325.20567
2000-08-11,330.168678
2000-08-14,335.030618
2000-08-15,333.733641
2000-08-16,333.865883
2000-08-17,335.822684
2000-08-18,335.527144
2000-08-21,335.46598
2000-08-22,336.609809
2000-08-23,336.708987
2000-08-24,337.235524
2000-08-25,336.556688
2000-08-28,338.035776
2000-08-29,337.32354
2000-08-30,335.718695
2000-08-31,338.464481
2000-09-01,338.358927
2000-09-04,338.358927
2000-09-05,337.314966
2000-09-06,335.707364
2000-09-07,337.196168
2000-09-08,334.930159
2000-09-11,334.22925
2000-09-12,333.226023
2000-09-13,332.010452
2000-09-14,330.551619
2000-09-15,326.997412
2000-09-18,321.23524
2000-09-19,325.521607
2000-09-20,322.89217
2000-09-21,320.804211
2000-09-22,316.10824
2000-09-25,313.015375
2000-09-26,310.128888
