Date,Value
2001-07-26,3505.573256
2001-07-27,3510.339951
2001-07-30,3509.120088
2001-07-31,3526.865131
2001-08-01,3539.477129
2001-08-02,3555.440618
2001-08-03,3538.032411
2001-08-06,3496.717922
2001-08-07,3511.246527
2001-08-08,3450.817113
2001-08-09,3450.332536
2001-08-10,3470.761934
2001-08-13,3471.238848
2001-08-14,3455.149407
2001-08-15,3429.850826
2001-08-16,3441.419874
2001-08-17,3381.476975
2001-08-20,3408.855613
2001-08-21,3366.68048
2001-08-22,3388.82372
2001-08-23,3378.563867
2001-08-24,3445.693494
2001-08-27,3428.360826
2001-08-28,3376.333453
2001-08-29,3335.874314
2001-08-30,3276.904791
2001-08-31,3292.648091
2001-09-03,3292.648091
2001-09-04,3296.727511
2001-09-05,3297.516745
2001-09-06,3221.888241
2001-09-07,3160.478196
2001-09-10,3185.710918
2001-09-11,3185.710918
2001-09-12,3185.710918
2001-09-13,3185.710918
2001-09-14,3185.710918
2001-09-17,3024.073637
2001-09-18,3008.860338
2001-09-19,2962.096214
2001-09-20,2870.036655
2001-09-21,2817.50737
2001-09-24,2931.695291
2001-09-25,2955.411739
2001-09-26,2943.851091
2001-09-27,2975.837391
2001-09-28,3040.926589
2001-10-01,3036.330783
2001-10-02,3072.364979
2001-10-03,3132.551343
2001-10-04,3122.495941
2001-10-05,3126.976218
2001-10-08,3101.498207
2001-10-09,3083.128055
2001-10-10,3155.084488
2001-10-11,3202.94146
2001-10-12,3186.618597
2001-10-15,3182.854469
2001-10-16,3204.826638
2001-10-17,3144.472472
2001-10-18,3122.67451
2001-10-19,3137.889642
2001-10-22,3187.493658
2001-10-23,3170.870963
2001-10-24,3168.978988
2001-10-25,3209.767048
2001-10-26,3220.698134
2001-10-29,3142.309847
2001-10-30,3088.942852
2001-10-31,3085.453104
2001-11-01,3156.67311
2001-11-02,3163.168942
2001-11-05,3206.114153
2001-11-06,3254.713033
2001-11-07,3245.759193
2001-11-08,3257.355126
2001-11-09,3263.318641
2001-11-12,3256.020482
2001-11-13,3316.999988
2001-11-14,3327.971272
2001-11-15,3334.487611
2001-11-16,3323.133381
2001-11-19,3359.996857
2001-11-20,3334.554167
2001-11-21,3317.822046
2001-11-22,3317.822046
2001-11-23,3356.692415
2001-11-26,3376.439195
2001-11-27,3351.98152
2001-11-28,3291.506259
2001-11-29,3325.237752
2001-11-30,3323.251677
2001-12-03,3294.620492
2001-12-04,3337.558956
2001-12-05,3411.242102
2001-12-06,3403.840524
2001-12-07,3376.892779
2001-12-10,3322.6859
2001-12-11,3312.833455
2001-12-12,3314.717329
2001-12-13,3263.04487
2001-12-14,3272.671231
2001-12-17,3307.505892
2001-12-18,3332.023273
2001-12-19,3354.116061
2001-12-20,3326.753163
2001-12-21,3338.502152
2001-12-24,3336.021689
2001-12-25,3336.021689
