mu,P,sim,HMM_BAC,Jump_BAC,SparseJump_BAC,Jump_Lambda,Sparse_Lambda,Sparse_Kappa
0.25,30,2,1.0,1.0,0.9888888888888889,5.878016072274912,10.0,2.722009836558331
0.25,30,3,0.713265306122449,0.8,0.5551020408163265,5.878016072274912,0.31622776601683794,1.0
0.25,30,4,0.9917491749174918,0.9917491749174918,0.9958117639175085,5.878016072274912,10.0,2.377607869246665
0.25,30,5,0.9432471264367817,0.9989224137931034,0.8265086206896552,5.878016072274912,10.0,1.0
0.25,30,6,1.0,1.0,1.0,5.878016072274912,10.0,2.0332059019349984
0.25,30,7,0.9306418219461698,0.9411764705882353,0.9411764705882353,5.878016072274912,10.0,1.6888039346233326
0.25,30,8,0.9968051118210863,0.9968051118210863,1.0,5.878016072274912,10.0,3.75521573849333
0.25,30,9,0.4385245901639344,0.869535519125683,0.978483606557377,2.030917620904737,10.0,1.6888039346233326
0.25,60,0,0.586,1.0,1.0,49.238826317067414,31.622776601683793,1.0
0.25,60,1,1.0,1.0,0.9890510948905109,5.878016072274912,10.0,3.0756820592045644
0.25,60,2,0.9932249322493225,0.998780487804878,0.9932249322493225,5.878016072274912,10.0,2.037841029602282
0.25,60,3,0.28469387755102044,0.7836734693877552,0.6989795918367347,5.878016072274912,10.0,1.0
0.25,60,4,0.9958117639175085,0.9958117639175085,0.9974619289340101,5.878016072274912,10.0,3.0756820592045644
0.25,60,5,0.48323754789272033,0.978448275862069,1.0,2.030917620904737,10.0,3.0756820592045644
0.25,60,6,0.9925373134328358,0.9925373134328358,0.9925373134328358,5.878016072274912,10.0,2.5567615444034235
0.25,60,7,0.5634514675435391,0.9989648033126294,0.9989648033126294,5.878016072274912,31.622776601683793,2.037841029602282
0.25,60,8,0.9877073687447677,0.9984025559105432,1.0,5.878016072274912,31.622776601683793,1.518920514801141
0.25,60,9,0.49112021857923494,0.985655737704918,0.5621584699453552,17.012542798525892,0.1,1.0
0.25,150,0,0.526,1.0,1.0,142.51026703029993,100.0,1.0
0.25,150,1,0.7986266111680842,0.6320403772294947,0.6241278076049144,0.0837677640068292,1.0,2.7303767252178295
0.25,150,2,0.6619241192411924,0.9841463414634146,0.9944444444444445,17.012542798525892,31.622776601683793,1.8651883626089147
0.25,150,3,0.7112244897959183,0.5,0.8357142857142856,142.51026703029993,31.622776601683793,1.0
0.25,150,4,0.8851250607294232,0.995049504950495,0.9974619289340101,5.878016072274912,31.622776601683793,3.5955650878267438
0.25,150,5,0.4306752873563219,0.79477969348659,0.9700670498084292,49.238826317067414,10.0,4.460753450435659
0.25,150,6,0.5825548929716314,0.8787528868360277,1.0,17.012542798525892,31.622776601683793,1.8651883626089147
0.25,150,7,0.4808184143222507,0.7941176470588236,0.8529411764705883,49.238826317067414,31.622776601683793,1.0
0.25,150,8,0.9563137482701474,0.9984025559105432,0.9973262032085561,17.012542798525892,31.622776601683793,2.7303767252178295
0.25,150,9,0.6717896174863388,0.5020491803278688,0.5744535519125683,0.0837677640068292,0.31622776601683794,1.8651883626089147
0.25,300,0,0.598,1.0,1.0,142.51026703029993,100.0,1.0
0.25,300,1,0.5073394864370312,0.7368743841869256,1.0,5.878016072274912,31.622776601683793,3.5108473962598117
0.25,300,2,0.5937669376693766,0.570460704607046,0.9888888888888889,0.0837677640068292,31.622776601683793,2.255423698129906
0.25,300,3,0.5591836734693878,0.8244897959183674,0.9316326530612244,142.51026703029993,10.0,7.27711849064953
0.25,300,4,0.6203950344273006,0.7093196629307601,0.9892111038515019,2.030917620904737,10.0,8.532542188779434
0.25,300,5,0.6016522988505747,0.7840038314176245,0.7883141762452108,49.238826317067414,31.622776601683793,4.766271094389717
0.25,300,6,0.5908276171107512,0.5931198510909654,1.0,2.030917620904737,31.622776601683793,2.255423698129906
0.25,300,7,0.5431737912556327,0.9720496894409938,0.9989648033126294,49.238826317067414,31.622776601683793,2.255423698129906
0.25,300,8,0.615340588747843,0.8689839572192513,1.0,49.238826317067414,31.622776601683793,2.255423698129906
0.25,300,9,0.4511612021857923,0.7581967213114754,0.7776639344262295,49.238826317067414,31.622776601683793,3.5108473962598117
0.5,15,0,0.552,1.0,1.0,49.238826317067414,31.622776601683793,1.0
0.5,15,1,1.0,1.0,1.0,5.878016072274912,3.1622776601683795,3.651984627268385
0.5,15,2,1.0,1.0,1.0,2.030917620904737,3.1622776601683795,3.2099871893903207
0.5,15,3,0.9979591836734694,0.9989795918367347,0.9989795918367347,5.878016072274912,3.1622776601683795,2.767989751512257
0.5,15,4,0.9974619289340101,0.9974619289340101,1.0,5.878016072274912,10.0,1.2209987189390321
0.5,15,5,1.0,1.0,1.0,2.030917620904737,10.0,2.3259923136341927
0.5,15,6,1.0,1.0,1.0,5.878016072274912,3.1622776601683795,3.2099871893903207
0.5,15,7,1.0,1.0,1.0,5.878016072274912,3.1622776601683795,2.5469910325732243
0.5,15,8,1.0,1.0,1.0,5.878016072274912,3.1622776601683795,2.10499359469516
0.5,15,9,1.0,1.0,1.0,5.878016072274912,3.1622776601683795,3.430985908329353
0.5,30,0,0.622,1.0,1.0,17.012542798525892,31.622776601683793,1.0
0.5,30,1,1.0,1.0,1.0,5.878016072274912,10.0,3.75521573849333
0.5,30,2,1.0,1.0,1.0,2.030917620904737,3.1622776601683795,3.4108137711816635
0.5,30,3,0.9132653061224489,1.0,1.0,5.878016072274912,10.0,2.0332059019349984
0.5,30,4,1.0,1.0,1.0,2.030917620904737,3.1622776601683795,3.75521573849333
0.5,30,5,1.0,1.0,1.0,2.030917620904737,10.0,1.3444019673116663
0.5,30,6,1.0,1.0,1.0,2.030917620904737,3.1622776601683795,3.75521573849333
0.5,30,7,1.0,1.0,1.0,5.878016072274912,10.0,2.722009836558331
0.5,30,8,1.0,1.0,1.0,5.878016072274912,10.0,2.0332059019349984
0.5,30,9,0.9969262295081966,1.0,0.9989754098360656,5.878016072274912,10.0,2.377607869246665
0.5,60,0,0.586,1.0,1.0,49.238826317067414,31.622776601683793,1.0
0.5,60,1,1.0,1.0,1.0,2.030917620904737,3.1622776601683795,4.113523088806847
0.5,60,2,1.0,1.0,1.0,5.878016072274912,10.0,3.5946025740057053
0.5,60,3,0.8244897959183674,0.9489795918367347,0.9989795918367347,5.878016072274912,10.0,4.632443603607988
0.5,60,4,0.9974619289340101,1.0,0.9974619289340101,5.878016072274912,10.0,2.037841029602282
0.5,60,5,0.9989224137931034,1.0,1.0,5.878016072274912,10.0,2.5567615444034235
0.5,60,6,0.9925373134328358,0.9925373134328358,0.9925373134328358,5.878016072274912,10.0,2.5567615444034235
0.5,60,7,0.994824016563147,0.9989648033126294,0.9989648033126294,2.030917620904737,10.0,2.5567615444034235
