mu,P,sim,MLE_BAC,MLE_acc1,MLE_acc2,MLE_state0_mean,MLE_state1_mean,MLE_q12,MLE_q21,MLEK_BAC,MLEK_acc1,MLEK_acc2,MLEK_state0_mean,MLEK_state1_mean,MLEK_q12,MLEK_q21,Jump_BAC,Jump_acc1,Jump_acc2,Jump_state0_mean,Jump_state1_mean,Jump_q12,Jump_q21,Jump_best_lambda,SparseJump_BAC,SparseJump_acc1,SparseJump_acc2,SparseJump_state0_mean,SparseJump_state1_mean,SparseJump_q12,SparseJump_q21,SparseJump_best_lambda,SparseJump_best_kappa
0.25,150,42,0.4248933817722319,0.5420944558521561,0.3076923076923077,0.040024355372458006,0.002467446467897053,0.2079646017699115,0.17216117216117216,0.5075027641762755,0.6303901437371663,0.38461538461538464,0.036468568938630035,-4.539733917806029e-06,0.473015873015873,0.8097826086956522,0.5638919601958616,0.5893223819301848,0.5384615384615384,0.008190742960683377,0.04389793080876057,0.4143835616438356,0.5845410628019324,0.0837677640068292,0.8624229979466119,0.7248459958932238,1.0,0.02521562936182636,0.017589402722237833,0.0028328611898017,0.0,31.622776601683793,3.5955650878267438
0.25,150,43,0.4358156028368795,0.5382978723404256,0.3333333333333333,0.018945489624410724,0.019817927624193734,0.11061946902654868,0.09157509157509157,0.5609929078014184,0.5553191489361702,0.5666666666666667,0.012615357928294933,0.02749637241505882,0.4981684981684982,0.6017699115044248,0.827659574468085,0.6553191489361702,1.0,0.022212362607559082,0.01473635705743702,0.0,0.005208333333333333,49.238826317067414,0.8627659574468085,0.725531914893617,1.0,0.023894031331267516,0.00957813556096781,0.0,0.006289308176100629,31.622776601683793,1.8651883626089147
0.25,150,44,0.55,0.55,,0.0231605511410304,0.02482038273001459,0.07555555555555556,0.058394160583941604,0.734,0.734,,0.02234551148091163,0.028217556124376503,0.7368421052631579,0.2677595628415301,1.0,1.0,,0.02390747535607329,,0.0,,142.51026703029993,1.0,1.0,,0.02390747535607329,,0.0,,100.0,1.0
0.25,150,45,0.520770810298531,0.5030800821355236,0.5384615384615384,0.023530998180083015,0.02457174542389123,0.027888446215139442,0.024193548387096774,0.43421260464381617,0.7145790554414785,0.15384615384615385,0.019617394800365267,0.03533333631502571,0.6642857142857143,0.2618384401114206,0.8015321434212606,0.9876796714579056,0.6153846153846154,0.024988782861380354,-0.008564522634364228,0.002061855670103093,0.07142857142857142,5.878016072274912,0.6910440688674775,0.5359342915811088,0.8461538461538461,0.020784267626240315,0.027672501131006545,0.38783269961977185,0.4322033898305085,3.1622776601683795,1.0
0.25,150,46,0.7731182795698925,0.546236559139785,1.0,0.025114900080133087,0.005342239345582794,0.05905511811023622,0.05714285714285714,0.428878648233487,0.7720430107526882,0.08571428571428572,0.015894600467096363,0.013565015749839406,0.2641025641025641,0.9541284403669725,0.9846390168970813,0.9978494623655914,0.9714285714285714,0.018496277707023872,-0.025925532411398004,0.0021551724137931034,0.02857142857142857,17.012542798525892,0.9440860215053763,0.8881720430107527,1.0,0.020149283292277567,-0.007221591957970842,0.002421307506053269,0.0,31.622776601683793,1.8651883626089147
0.25,150,47,0.5054163475216107,0.6424116424116424,0.3684210526315789,0.01899754961527832,0.027939087473430893,0.23595505617977527,0.1308411214953271,0.45037750300908197,0.6902286902286903,0.21052631578947367,0.017487510190108115,0.032883294433208865,0.881578947368421,0.3861671469740634,0.972972972972973,0.9459459459459459,1.0,0.02542080275466621,-0.010381225980547875,0.0022026431718061676,0.022222222222222223,17.012542798525892,0.6514935988620199,0.5135135135135135,0.7894736842105263,0.03225398549812004,0.01206248885229053,0.35856573705179284,0.3629032258064516,3.1622776601683795,1.0
0.25,150,48,0.9725274725274725,0.945054945054945,1.0,0.023340601072153005,-0.027001133532966876,0.011661807580174927,0.02564102564102564,0.9119667097608274,0.8901098901098901,0.9338235294117647,0.022088455380844092,-0.02118841739007953,0.08982035928143713,0.045180722891566265,0.9986263736263736,0.9972527472527473,1.0,0.021071097898340316,-0.027969478827881276,0.0055248618784530384,0.014598540145985401,17.012542798525892,0.9926470588235294,1.0,0.9852941176470589,0.020412056426980803,-0.027267333691023674,0.005479452054794521,0.014925373134328358,10.0,7.056318538262403
0.25,150,49,0.3506944444444444,0.6388888888888888,0.0625,0.01827314139151107,0.03003349430192785,0.07602339181286549,0.036585365853658534,0.44524572649572647,0.7029914529914529,0.1875,0.015692028158412676,0.03846152446345037,0.6068965517241379,0.24858757062146894,0.84375,1.0,0.6875,0.02378030410495579,-0.009972469033275717,0.0020964360587002098,0.045454545454545456,17.012542798525892,1.0,1.0,1.0,0.02486686756574451,-0.015315718041613356,0.0021413276231263384,0.03125,31.622776601683793,5.325941813044573
0.25,150,50,0.28118609406952966,0.5623721881390593,0.0,0.025584585446782816,0.02772623503224422,0.24912280701754386,0.3317757009345794,0.4073247815579104,0.5419222903885481,0.2727272727272727,0.025421825177618474,0.027799328022864785,0.4632352941176471,0.5594713656387665,0.6633203197620375,0.7811860940695297,0.5454545454545454,0.023313597340804813,0.03741808463529811,0.07235142118863049,0.25,2.030917620904737,0.6264175497304332,0.5255623721881391,0.7272727272727273,0.029598909850932473,0.02314537155599044,0.35,0.3807531380753138,3.1622776601683795,2.7303767252178295
0.25,150,51,0.8332800511508951,0.7426470588235294,0.9239130434782609,0.01932694214188926,-0.0009556383569075475,0.09473684210526316,0.05501618122977346,0.4106990622335891,0.5931372549019608,0.22826086956521738,0.008830414881333152,0.01628802630115486,0.6612903225806451,0.3929712460063898,0.9891304347826086,1.0,0.9782608695652174,0.018555965816829636,-0.019979613430299043,0.0024449877750611247,0.022222222222222223,5.878016072274912,0.9933397271952259,0.9975490196078431,0.9891304347826086,0.019339085695003203,-0.022614849862913806,0.002457002457002457,0.021739130434782608,31.622776601683793,3.5955650878267438
0.25,150,52,0.53,0.53,,0.03010886247678534,0.02496983257626585,0.05106382978723404,0.041666666666666664,0.662,0.662,,0.023832326879040074,0.035255970501824406,0.5325443786982249,0.2696969696969697,1.0,1.0,,0.027693518423541178,,0.0,,142.51026703029993,1.0,1.0,,0.027693518423541178,,0.0,,100.0,1.0
